,city,country,lat,lng,humidity,temp,max_temp,clouds,wind
308,san martin,AR,-33.081,-68.4681,49,69.8,69.8,40,2.3
309,yamada,JP,39.4667,141.95,85,27.05,27.05,2,10.69
310,lumut,MY,4.2323,100.6298,94,77,77,20,5.46
311,arua,UG,3.0201,30.9111,31,69.94,69.94,47,1.41
313,harper,LR,4.375,-7.7169,89,78.3,78.3,8,5.19
314,yar-sale,RU,66.8333,70.8333,93,3.25,3.25,96,5.61
315,ormara,PK,25.2088,64.6357,59,68.59,68.59,0,5.86
316,broome,US,42.2506,-75.833,86,24.04,26.01,90,10.36
317,banda aceh,ID,5.5577,95.3222,79,78.17,78.17,53,10.25
318,katherine,AU,-14.4667,132.2667,78,82.4,82.4,75,6.91
319,san jeronimo,PE,-11.9472,-75.2829,69,53.42,53.42,79,3.89
320,ternate,ID,0.8,127.4,77,81.16,81.16,74,7.34
321,provideniya,RU,64.3833,-173.3,90,5.97,5.97,100,18.9
322,luderitz,NA,-26.6481,15.1594,85,64.71,64.71,1,8.55
323,udaipur,IN,24.5712,73.6918,29,61.34,61.34,14,4.12
324,salug,PH,8.1147,122.7833,79,79.79,79.79,98,10.18
325,borkenes,NO,68.774,16.1739,89,23.05,26.01,70,11.01
326,ustye,RU,59.6304,39.736,97,17.78,17.78,98,4.29
327,viedma,AR,-40.8135,-62.9967,43,72,72,39,11.52
328,souris,CA,49.6172,-100.2612,86,25.92,27,20,10.36
329,skibbereen,IE,51.55,-9.2667,93,42.8,42.8,40,14.97
330,kedrovyy,RU,56.1667,91.8167,84,-2.2,-2.2,40,8.72
331,porto novo,BJ,6.4965,2.6036,84,84.2,84.2,20,12.66
332,humaita,BR,-7.5061,-63.0208,90,76.39,76.39,100,1.14
333,hambantota,LK,6.1241,81.1185,81,76.28,76.28,25,14.65
334,teknaf,BD,20.8624,92.3058,62,57.81,57.81,0,7.23
335,bac lieu,VN,9.285,105.7244,82,75.27,75.27,47,13.06
337,ostersund,SE,63.1792,14.6357,85,4.12,5,75,3.85
338,north platte,US,41.1239,-100.7654,57,50,50,1,9.22
339,bredasdorp,ZA,-34.5322,20.0403,88,59,59,0,4.61
340,singaraja,ID,-8.112,115.0882,75,80.38,80.38,100,1.72
341,ghanzi,BW,-21.5667,21.7833,90,68.72,68.72,100,8.93
342,mizan teferi,ET,6.9833,35.5833,54,65.7,65.7,0,2.59
343,cockburn town,TC,21.4612,-71.1419,79,75.18,75.18,31,16.62
344,the valley,AI,18.217,-63.0578,73,78.85,79,75,9.22
345,karrapur,IN,23.95,78.85,35,57.34,57.34,25,6.82
346,ahuimanu,US,21.4447,-157.8378,65,75.87,77,75,8.05
347,kargopol,RU,61.5071,38.9456,94,2.79,2.79,3,3.2
348,el naranjo,MX,21.4667,-98.6,67,68.52,68.52,37,8.1
349,tautira,PF,-17.7333,-149.15,62,87.4,87.8,20,5.75
351,kamenka,RU,51.3223,42.7678,97,33.01,33.01,100,4.43
352,qianan,CN,44.9932,124.0581,82,-17.86,-17.86,0,8.01
353,airai,TL,-8.9266,125.4092,97,66.4,66.4,100,2.91
354,fort walton beach,US,30.4058,-86.6188,30,53.78,55.4,1,12.66
355,vila,PT,42.0304,-8.1588,95,52,52,100,21.99
356,la ronge,CA,55.1001,-105.2842,86,19.4,19.4,100,11.5
357,eqbaliyeh,IR,35.3022,51.5358,65,40.73,42.8,0,9.22
358,tabou,CI,4.423,-7.3528,90,78.13,78.13,24,5.28
359,hawkesbury,CA,45.6001,-74.616,93,28.13,28.4,90,6.91
360,rocha,UY,-34.4833,-54.3333,94,70.48,70.48,89,7.23
361,morondava,MG,-20.2833,44.2833,77,82.81,82.81,28,5.53
362,waitati,NZ,-45.75,170.5667,52,71.29,71.29,73,7.67
363,tiksi,RU,71.6872,128.8694,93,-0.72,-0.72,100,14.14
364,lokosovo,RU,61.1333,74.8167,97,15.17,15.17,100,3.44
365,pandan,PH,14.0453,124.1694,83,78.64,78.64,91,15.43
366,catamarca,AR,-28.4696,-65.7852,99,60.03,63,100,1.99
367,chokurdakh,RU,70.6333,147.9167,89,-10.57,-10.57,40,6.31
368,teguise,ES,29.0605,-13.564,88,60.8,60.8,20,6.91
369,shingu,JP,33.7333,135.9833,52,41,41,40,17.27
371,djibo,BF,14.1022,-1.6306,18,69.96,69.96,0,7.56
372,katiola,CI,8.1333,-5.1,37,84.2,84.2,5,4.61
374,egvekinot,RU,66.3167,-179.1667,91,0.9,0.9,100,12.48
375,vuktyl,RU,63.8567,57.3094,97,15.55,15.55,99,8.55
377,sabzevar,IR,36.2126,57.6819,64,41.22,41.22,0,6.15
378,belle fourche,US,44.6714,-103.8522,24,55.4,55.4,1,3.44
379,westport,US,41.1415,-73.3579,80,31.32,33.8,90,6.91
380,longyearbyen,SJ,78.2186,15.6401,86,21.2,21.2,40,6.91
381,henties bay,NA,-22.116,14.2845,87,64.99,64.99,9,6.08
382,alice springs,AU,-23.7,133.8833,18,82.4,82.4,0,18.41
383,faya,SA,18.3851,42.4509,62,56.3,57.2,0,3.15
384,hojai,IN,26,92.8667,81,55.53,55.53,0,2.93
385,darab,IR,28.7519,54.5444,41,47.97,47.97,0,1.95
386,staryy nadym,RU,65.6118,72.6842,96,10.31,10.31,87,6.06
387,kupino,RU,54.3663,77.2981,97,18.43,18.43,100,16.33
388,kapoeta,SS,4.7717,33.5903,31,80.44,80.44,0,11.25
389,kharsawan,IN,22.8,85.8333,47,50.7,50.7,0,3.02
390,beniganj,IN,27.2833,80.45,60,51.1,51.1,0,3.31
391,gizo,SB,-8.103,156.8419,74,83.7,83.7,100,11.68
392,yinchuan,CN,38.4681,106.2731,68,24.57,24.57,3,3.76
393,hirara,JP,24.8,125.2833,67,63.34,64.4,20,11.5
394,algiers,DZ,36.7525,3.042,65,58.01,58.01,0,1.54
395,opunake,NZ,-39.4556,173.8583,62,67.98,70,0,5.99
396,san quintin,MX,30.4833,-115.95,66,64.15,64.15,89,14.83
397,fairbanks,US,64.8378,-147.7164,59,-10.7,-7.6,1,5.75
398,rio grande,BR,-32.035,-52.0986,94,72.18,73.4,75,11.5
399,cedar city,US,37.6775,-113.0619,50,55.4,55.4,1,17.27
400,jiuquan,CN,39.7432,98.5174,67,19.18,19.18,7,0.78
